date,aaba,aal,aapl,adbe,akam,alxn,amat,amzn,atvi,avgo,bidu,cmcsa,csco,ctxs,ea,fb,fox,goog,intc,khc,mar,msft,nflx,pypl,trip,tsla,wba,nasdaq
2018-04-16,69.919998,46.400002,175.820007,226.520004,71.639999,109.480003,56.869999,1441.5,66.559998,249.369995,229.899994,33.529999,43.299999,95.970001,122.190002,164.830002,36.509998,1037.97998,52.400002,61.189999,133.470001,94.169998,307.779999,77.800003,41.139999,291.209991,66.220001,7156.279785
2018-04-17,71.089996,45.75,178.240005,231.160004,72.489998,113.279999,57.860001,1503.829956,68.279999,251.740005,235.669998,33.27,44.59,97.519997,124.309998,168.660004,37.09,1074.160034,53.540001,61.689999,136.809998,96.07,336.059998,80.029999,41.98,287.690002,65.970001,7281.100098
2018-04-18,72.32,47.759998,177.839996,231.100006,72.849998,112.959999,54.73,1527.839966,68.690002,249.589996,237.75,33.27,44.630001,98.220001,124.93,166.360001,36.82,1072.079956,53.610001,60.790001,138.309998,96.440002,334.519989,80.339996,42.099998,293.350006,66.260002,7295.240234
2018-04-19,72.019997,46.880001,172.800003,227.619995,72.459999,111.739998,51.189999,1556.910034,67.68,242.860001,237.110001,33.48,44.560001,97.220001,123.110001,168.100006,36.68,1087.699951,52.220001,59.73,137.619995,96.110001,332.700012,79.68,41.639999,300.079987,65.279999,7238.060059
2018-04-20,71.059998,46.779999,165.720001,225.240005,71.300003,107.779999,51.09,1527.48999,66.300003,237.119995,232.5,33.209999,44.09,96.57,120.889999,166.279999,36.18,1072.959961,51.529999,58.220001,137.479996,95,327.769989,78.730003,41.619999,290.23999,63.919998,7146.129883
2018-04-23,69.889999,46.68,165.240005,225.300003,71.669998,107.830002,50.18,1517.859985,66.230003,233.449997,231.419998,33.869999,44.25,97.029999,119.599998,165.839996,36.029999,1067.449951,51.099998,57.68,137.630005,95.349998,318.690002,78.209999,42.689999,283.369995,64.599998,7128.600098
2018-04-24,69.260002,45.689999,162.940002,217.889999,70.970001,106.510002,48.720001,1460.089966,65.339996,228.389999,231.410004,33.349998,43.740002,96.599998,118.589996,159.690002,35.52,1019.97998,51.450001,56.529999,136.899994,93.120003,307.019989,75.279999,41.91,283.459991,65,7007.350098
2018-04-25,68.269997,45.25,163.649994,217.320007,70.779999,106.040001,49.139999,1460.170044,64.82,229,231.410004,34.259998,43.709999,96.580002,116.68,159.690002,36.130001,1021.179993,51.380001,56.849998,137.240005,92.309998,305.76001,74,38.330002,280.690002,65.949997,7003.740234
2018-04-26,69.800003,42.369999,164.220001,221.910004,71.529999,121.419998,50.490002,1517.959961,66.339996,230.419998,238.690002,33.330002,44.209999,101.169998,119.599998,174.160004,35.84,1040.040039,53.049999,57.330002,137.759995,94.260002,313.980011,76.029999,37.389999,285.480011,66.739998,7118.680176
2018-04-27,69.730003,43.400002,162.320007,221.899994,71.099998,121.370003,49.400002,1572.619995,65.790001,232.779999,251.929993,31.809999,44.709999,103.269997,117.470001,173.589996,35.990002,1030.050049,52.73,57.66,137.419998,95.82,311.76001,74.129997,37.27,294.079987,67.110001,7119.799805
